,GEOID,num_scouts,scouts_per_tract,female_cub_scouts,male_cub_scouts,female_troop_scouts,male_troop_scouts,female_cub_total,female_troop_total,male_cub_total,male_troop_total,fcubs_per_tract,mcubs_per_tract,ftroops_per_tract,mtroops_per_tract,female_scouts,female_per_tract,male_scouts,male_per_tract,cub_youth_total,troop_youth_total,total_pop,cub_scouts,troop_scouts,cub_per_tract,troop_per_tract,2022_youth_total,2022_scouts_per_tract,2023_difference_total,2023_difference_per_tract
53,36005009200,2,0.22988505747126436,1.0,0.0,0.0,1.0,199.0,249.0,205.0,217.0,0.5025125628140703,0.0,0.0,0.4608294930875576,1.0,0.2232142857142857,1.0,0.23696682464454977,404.0,466.0,870,1.0,1.0,0.24752475247524752,0.2145922746781116,0.0,0.0,2.0,0.22988505747126436
54,36005009301,7,0.6487488415199258,0.0,1.0,2.0,4.0,421.0,256.0,195.0,207.0,0.0,0.5128205128205128,0.78125,1.932367149758454,2.0,0.29542097488921715,5.0,1.2437810945273633,616.0,463.0,1079,1.0,6.0,0.16233766233766234,1.2958963282937366,1.0,0.09267840593141798,6.0,0.5560704355885079
55,36005009302,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,,2.0,
56,36005009800,3,0.37359900373599003,0.0,1.0,1.0,1.0,197.0,165.0,175.0,266.0,0.0,0.5714285714285714,0.6060606060606061,0.37593984962406013,1.0,0.2762430939226519,2.0,0.45351473922902497,372.0,431.0,803,1.0,2.0,0.2688172043010753,0.46403712296983757,1.0,0.12453300124533001,2.0,0.24906600249066002
57,36005011502,5,0.43478260869565216,0.0,0.0,3.0,2.0,160.0,207.0,394.0,389.0,0.0,0.0,1.4492753623188406,0.5141388174807198,3.0,0.8174386920980926,2.0,0.2554278416347382,554.0,596.0,1150,0.0,5.0,0.0,0.8389261744966443,0.0,0.0,5.0,0.43478260869565216
58,36005011701,3,1.875,0.0,0.0,0.0,3.0,23.0,20.0,91.0,26.0,0.0,0.0,0.0,11.538461538461538,0.0,0.0,3.0,2.564102564102564,114.0,46.0,160,0.0,3.0,0.0,6.521739130434782,0.0,0.0,3.0,1.875
59,36005011800,6,0.9724473257698543,0.0,5.0,1.0,0.0,148.0,145.0,95.0,229.0,0.0,5.263157894736842,0.6896551724137931,0.0,1.0,0.3412969283276451,5.0,1.5432098765432098,243.0,374.0,617,5.0,1.0,2.05761316872428,0.267379679144385,3.0,0.48622366288492713,3.0,0.48622366288492713
60,36005011900,4,0.38910505836575876,0.0,0.0,3.0,1.0,222.0,250.0,253.0,303.0,0.0,0.0,1.2,0.33003300330033003,3.0,0.6355932203389831,1.0,0.1798561151079137,475.0,553.0,1028,0.0,4.0,0.0,0.7233273056057866,0.0,0.0,4.0,0.38910505836575876
61,36005012300,5,0.6361323155216284,0.0,1.0,3.0,1.0,116.0,264.0,131.0,275.0,0.0,0.7633587786259541,1.1363636363636365,0.36363636363636365,3.0,0.7894736842105263,2.0,0.49261083743842365,247.0,539.0,786,1.0,4.0,0.4048582995951417,0.7421150278293136,0.0,0.0,5.0,0.6361323155216284
62,36005012500,5,0.764525993883792,0.0,1.0,2.0,2.0,101.0,194.0,211.0,148.0,0.0,0.47393364928909953,1.0309278350515463,1.3513513513513513,2.0,0.6779661016949152,3.0,0.8356545961002786,312.0,342.0,654,1.0,4.0,0.3205128205128205,1.1695906432748537,0.0,0.0,5.0,0.764525993883792
63,36005013000,3,2.112676056338028,0.0,1.0,0.0,2.0,22.0,10.0,83.0,27.0,0.0,1.2048192771084338,0.0,7.4074074074074066,0.0,0.0,3.0,2.727272727272727,105.0,37.0,142,1.0,2.0,0.9523809523809524,5.405405405405405,3.0,2.112676056338028,0.0,0.0
64,36005013100,3,0.3194888178913738,0.0,0.0,2.0,1.0,235.0,226.0,226.0,252.0,0.0,0.0,0.8849557522123894,0.3968253968253968,2.0,0.43383947939262474,1.0,0.20920502092050208,461.0,478.0,939,0.0,3.0,0.0,0.6276150627615062,1.0,0.10649627263045794,2.0,0.21299254526091585
65,36005013200,2,0.20387359836901123,0.0,0.0,1.0,1.0,272.0,151.0,255.0,303.0,0.0,0.0,0.6622516556291391,0.33003300330033003,1.0,0.2364066193853428,1.0,0.17921146953405018,527.0,454.0,981,0.0,2.0,0.0,0.4405286343612335,3.0,0.3058103975535168,-1.0,-0.10193679918450557
66,36005013300,5,0.42337002540220153,0.0,0.0,2.0,3.0,248.0,163.0,305.0,465.0,0.0,0.0,1.2269938650306749,0.6451612903225806,2.0,0.48661800486618007,3.0,0.38961038961038963,553.0,628.0,1181,0.0,5.0,0.0,0.7961783439490446,1.0,0.0846740050804403,4.0,0.3386960203217612
